"bar_index","sequence_index","chant","piano_right_hand","piano_left_hand"
"60","0","b'4 d''2 \grace{c''16} b'8[ a'16 g'16]","\times 2/3 {b8 d'8 g'8} \times 2/3 {b8 d'8 g'8} \times 2/3 {b8 d'8 g'8} \times 2/3 {b8 d'8 g'8}","<g, g>4 d4 b,4 g,4"
"61","0","\partial 2. \grace{a'4} g'2.","\partial 2. r4 <b g'>8. <d' b'>16 <b g'>4","\partial 2. <g, g>2."
"62","0","\grace { d''8 } cis''4 b'8 [ a'8 ] g'8 [ fis'8] e'8[ d'8 ]","<e' cis''>1","<a, a>2. <g, g>4"
"63","0","a'4( a'16) [ g'16 fis'16 e'16 ] d'4 d''8.\noBeam d''16","<d' a' d''>2. r4","r8 fis8 [ a8 fis8 ] d8 [ fis8 a8 d'8 ]"
"64","0","b'4 d''4( d''8)[ e''16 d''16 c''8] b'8","r8 <g'b' d''>8 <g'b' d''>8 <g'b' d''>8 r8 <g'b' d''>8 <g'b' d''>8 <g'b' d''>8","<g, g>4 r4 <b, b>4 r4"
"65","0","d''4 \times 2/3{e''8 c''8 a'8} g'4 a'4","\times 2/3 {g'8 b'8 d''8} \times 2/3 {e'8 a'8 c''8} \times 2/3 {b8 d'8 g'8} \times 2/3 {a8 c'8 fis'8}","b,4 c4 d4 d,4"
"66","0","d''2 b4 g''4","<g' d''>1\fermata","<b, b>1\fermata"
"67","0","g'4. d''8 e''8[ d''8] c''8[ b'8]","<g' b'>8 <a' c''>8 <b' d''>8 <b' d''>8 <c'' e''>8 <b' d''>8 <a' c''>8 <g' b'>8","<g, g>1"
"68","0","a'4 d''4 r4 d''8.\noBeam d''16","\times 2/3 { d'8 fis'8 a'8 } \times 2/3  { d''8 a'8 fis'8 } \times 2/3  { d'8 fis'8 a'8 } \times 2/3  { fis'8 a'8 d''8 }","<fis, fis>1"
"69","0","\partial 2. a'2( g'4)","\partial 2. <c' a'>2 <b g'>4","\partial 2. <g, g>2."
"70","0","c''4 b'8 r16 b'16 \grace{b'16} a'8[ g'8] a'8[ b'8]","<d' a' c''>4 <d' g' b'>8 r8 <c' fis' a'>4 <c' fis' a'>4","<fis, fis>4 <g, g>8 r8 <d, d>4 <d, d>4"
"71","0","\partial 4 b'8.\noBeam( c''16)","\partial 4 <g' b'>8. <a' c''>16","\partial 4 r4"
"71","1","d''4. e''8 a'4 b'4","{<<{\voiceOne <b' d''>4. <c'' e''>8 <fis' a'>4 <g' b'>4} \new Voice {\voiceTwo r4 r4 d'2}>>}","<g, g>2 c'4 b8 g8"
"72","0","g'4. a'8 b'4. c''8","<b g'>4. <c' a'>8 <g' b'>4. <a' c''>8","r4 <g, g>4 r8 g8 e8 c8"
"73","0","d''4 e'8\noBeam b'8( b'4) a'8\noBeam cis'8","<e' g' b' d''>2 r4 <e' g' a' cis''>4","<g, g>4 e4 a4 a,4"
"74","0","a'4 d''4 r4 e''8.\noBeam e''16","r4 <d' fis' a' d''>8. <d' fis' a' d''>16 <d' fis' a' d''>4 r4","r4 <d, d>8. <d, d>16 <d, d>4 r4"
"75","0","d''4 r4 e''8[ g''8] d''8[ g''8]","<g' d''>16 g''16 fis''16 g''16 d''4 <g' e''>4 <g' d''>4","<b, b>4 r4 <c c'>4 <b, b>4"
"76","0","a'4 c''8.\fermata b'16 a'4 d'8.\noBeam d'16","<d' fis' a'>2.\fermata r4","<d, d>2.\fermata r4"
"77","0","g''4. g'8 b'4 a'8. b'16","<g' bes' cis'' g''>2 <d' g' b' d''>4 <d' g' b' d''>4","<es, es>2 <d, d>2"
"78","0","d''8[( b'8)] b'8[( g'8)] fis'8[( a'8)] g'8[( e'8)]","<b' d''>8 r8 <g' b'>8 [ <e' g'>8 ] <d' fis'>8 r8 <cis' e'>8 r8","g8 r8 g4( a8) r8 a,8 r8"
"79","0","a'4\fermata a'16( b'16 c''16 b'16) a'4 d''8. d''16","<fis' a'>2.\fermata r4","<d, d>2.\fermata r4"
"80","0","g''8[ fis''8] e''8[ d''8] c''8[ b'8] a'8[ g'8]","<g' b' d'' g''>4 r4 r4 <g' b' d'' g''>4","<b, b>4 r4 <g, b, d g>4 r4"
"81","0","\partial 4 d''8.\noBeam b'16","\partial 4 r4","\partial 4 r4"
"81","1","g'4 b'8.( a'16) g'4 g'4","\times 2/3 {b8 d'8 g'8} \times 2/3 {b8 d'8 g'8} \times 2/3 {b8 d'8 g'8} \times 2/3 {b8 d'8 g'8}","<g, g>1"
"82","0","\partial 4 d''8.\noBeam( b'16)","\partial 4 r4","\partial 4 r4"
