"bar_index","piano_right_hand","piano_left_hand"
"91","a'2.","a,8 [a8] e8 [cis8] a,4"
"92","d''8. [fis''16] e''8. [g''16] fis''4","fis4 cis4 d4"
"93","d''2.","d4 fis8 [a8] d'4"
"94","a'2.","a4 e8 [cis8] a,4"
"95","d''4 e''16 [fis''16 g''16 e''16] fis''4","<fis,fis>4 <cis,cis>4 <d,d>4"
"96","a''8. [d'''16] fis''8. [a''16] d''8. [fis''16]","<a a,>4 <fis,fis>4 <d,d>4"
"97","r16 e'16 [fis'16 gis'16] a'16 [b'16 cis''16 d''16] e''16 [fis''16 gis''16 a''16]","<cis'cis>4 r4 r4"
"98","<fis'd''>4 cis''16 [d''8.] cis''16 [d''8.]","<d,d>4 <a fis>4 <a fis>4"
"99","fis''4 e''8 [d''8] cis''8 [b'8]","\tuplet 3/2 {d8 [fis8 b8]} \tuplet 3/2 {d8 [fis8 b8]} \tuplet 3/2 {d8 [fis8 b8]}"
"100","a'2.","a8 [e8] cis8 [e8] a,4"
"101","\tuplet 3/2 {b''8 [fis''8 g''8]} \tuplet 3/2 {b''8 [fis''8 g''8]} \tuplet 3/2 {b''8 [g''8 e''8]}","<g,g>4 r4 r4"
"102","<a''fis''>2 <g''e''>8 [<fis''dis''>8]","d8 [a8] fis8 [a8] b,8 [b8]"
"103","cis''8 [e''8] gis'8 [b'8] a'4","<a a,>4 <b b,>4 <cis'cis>4"
"104","<d'''fis''a''>4 d'''16 [cis'''16 b''16 a''16] g''16 [fis''16 e''16 d''16]","<d,d>4 <fis,fis>4 r4"
"105","\tuplet 3/2 {gis''8 [a''8 b''8]} <d''b'>4 <d''b'>4","r4 \tuplet 3/2 {e8 [gis ?8 b8]} \tuplet 3/2 {e8 [gis8 b8]}"
"106","a''16 [fis''16 e''16 d''16] cis''4 b'4 ^\trill","{<<{\voiceOne a2 gis4} \new Voice {\voiceTwo d4 e2}>>}"
"107","a'2.","r8 a8 [e8 cis8] a,4"
"108","<a''cis''>2 <e''cis''>4","r8 a,8 cis8 [e8] a8 [a,8]"
"109","\tuplet 3/2 {b'8 [g''8 b''8]} \tuplet 3/2 {a''8 [g''8 fis''8]} \tuplet 3/2 {e''8 [d''8 cis''8]}","<g,g>4 a4 a,4"
"110","\tuplet 3/2 {a'8 [cis''8 e''8]} <e'g'>4 fis'8. [d'16]","r4 cis4 d8. [fis16]"
"111","d''2.","d8 [d'8] a8 [fis8] d4"
"112","d''8. [g''16] g''8. ^\trill [fis''32 g''32] b''4","b8 [d'8] b8 [d'8] g8 [d'8]"
"113","e''16 [fis''16 g''16 e''16] fis''8 [a''8] g''16 [fis''16 e''16 d''16]","<cis,cis>4 <d,d>4 r4"
"114","a''8. ^\trill [g''32 a''32] b''8 [b'8] b''8 [b'8]","<fis,fis>4 <g,g>4 r4"
"115","a'8. [d''16] fis''8. [d''16] a''4","<fis,fis>4 <d,d>4 r8 fis8"
"116","\tuplet 3/2 {b'8 [g''8 e''8]} d''4 cis''4 ^\trill","{<<{\voiceOne r4 fis'4 e'4} \new Voice {\voiceTwo g4 a2}>>}"
"117","<fis'dis''>2 <fis'dis''>4","r8 c'?8 [b8 a8] g8 [fis8]"
"118","r8 ais'8 [b'8 d''8] gis'8 [b'8]","<d,d>2 <e,e>4"
"119","d''2 cis''16 [d''16 e''16 cis''16]","<d,d>4 <fis,fis>4 <a a,>4"
"120","c''8 [b'8] b'4. b''8","r4 <fis'dis'?>4 <fis'dis'>4"
"121","e''8. [g''16] fis''8. [a''16] g''4","<g,g>4 <dis,? dis?>4 <e,e>4"
"122","e''8. [a''16] fis''8. [a''16] e''8. [a''16]","<cis'cis>4 <d'd>4 <cis'cis>4"
"123","a'2.","a4 e4 a,4"
"124","a'16 [b'16 cis''16 d''16] e''16 [fis''16 g''16 e''16] fis''4","r4 <cis'cis>4 <d'd>4"
"125","e''8 [fis''8] d''2","\tuplet 3/2 {d8 [fis8 a8]} \tuplet 3/2 {d8 [fis8 a8]} \tuplet 3/2 {d8 [fis8 a8]}"
"126","<g''e''>2 <fis''d''>8 [<e''cis''>8]","a,8 [a8] cis8 [a8] a,8 [a8]"
